model,language,n,accuracy,precision,recall,f1
ngram,bangla,5586,0.6539563193698532,0.6576830228504592,0.6563536115343084,0.6569827794020058
ngram,banglish,4190,0.6608591885441527,0.6541007999825125,0.654402200853358,0.6542356294071889
ngram,code_switched,169,0.7455621301775148,0.5600506342194321,0.6826972010178117,0.5826382938386262
ngram,english,5055,0.7109792284866469,0.7081199540832858,0.712225241288646,0.7096392540972029
ngram,overall,15000,0.6761333333333334,0.6753052354048433,0.6761333333333334,0.6756924416423452
bow,bangla,5586,0.648406731113498,0.6517573972501549,0.651101364101923,0.6513169673942233
bow,banglish,4190,0.6663484486873509,0.6585828192373258,0.6593679223971224,0.6588677793457826
bow,code_switched,169,0.7396449704142012,0.5511926192619262,0.6495971162001696,0.5664608574091332
bow,english,5055,0.7093966369930762,0.7065319661230881,0.7104850584489225,0.7079797570561652
bow,overall,15000,0.675,0.6738387972048242,0.6749999999999999,0.6743580942874264
tfidf,bangla,5586,0.6872538489079842,0.6932208746809602,0.6884227032145929,0.6903811757476671
tfidf,banglish,4190,0.6830548926014319,0.6763309845001141,0.6763497819063824,0.6761611034492011
tfidf,code_switched,169,0.757396449704142,0.5769696969696969,0.704919423240034,0.5978705978705979
tfidf,english,5055,0.7293768545994065,0.7288040064673676,0.7303659475494545,0.7294945086905703
tfidf,overall,15000,0.7010666666666666,0.7018954682882139,0.7010666666666666,0.7013545214125045
ann,bangla,5586,0.6783029001074113,0.6811271009763638,0.6805873769040564,0.6805543978139488
ann,banglish,4190,0.6737470167064439,0.6716049631231716,0.6690651606505749,0.6697212251422483
ann,code_switched,169,0.7455621301775148,0.5721147589470571,0.7083969465648855,0.594214960452607
ann,english,5055,0.7068249258160237,0.7163924519468599,0.705472091283684,0.7088217655137604
ann,overall,15000,0.6874,0.6909379177898031,0.6873999999999999,0.6888053029743767
rnn,bangla,5586,0.656641604010025,0.6628531873617903,0.6594599713761928,0.6603063711625171
rnn,banglish,4190,0.6687350835322196,0.664543181729052,0.663293585986406,0.6637892802856719
rnn,code_switched,169,0.7100591715976331,0.5262374309993357,0.5891857506361323,0.5279650205414398
rnn,english,5055,0.7000989119683482,0.7037827596464371,0.6997524476182418,0.7013081158139945
rnn,overall,15000,0.6752666666666667,0.6783459166618333,0.6752666666666666,0.6763928058616414
lstm,bangla,5586,0.6403508771929824,0.6455147505254895,0.6427807665190434,0.6437268869171686
lstm,banglish,4190,0.6668257756563246,0.6632889827191086,0.6615872549610705,0.6609795654278174
lstm,code_switched,169,0.7041420118343196,0.5636886886886887,0.6563189143341815,0.559652677740652
lstm,english,5055,0.7115727002967359,0.7133040254348453,0.7108652881932608,0.7108980089095528
lstm,overall,15000,0.6724666666666667,0.674490308430609,0.6724666666666668,0.6726796136047241
attention,bangla,5586,0.6376655925528106,0.6447178955623447,0.6395904494125809,0.6417065369645977
attention,banglish,4190,0.6596658711217184,0.6514858357592446,0.6524274950425872,0.651411067786626
attention,code_switched,169,0.6923076923076923,0.5626796925423928,0.6597964376590331,0.5559238318060701
attention,english,5055,0.712166172106825,0.7113336530180555,0.7125337588448827,0.7116996451920091
attention,overall,15000,0.6695333333333333,0.6699997750491185,0.6695333333333333,0.669658600993753
transformer,bangla,5586,0.6668456856426781,0.6804537557288369,0.6676212235650394,0.6710620107098535
transformer,banglish,4190,0.6620525059665872,0.6585811170541329,0.6570410240547294,0.6572122048691504
transformer,code_switched,169,0.7455621301775148,0.5698267628960698,0.6912637828668363,0.5886484862144091
transformer,english,5055,0.7186943620178041,0.7239939820448352,0.717627287817118,0.719543706083298
transformer,overall,15000,0.6838666666666666,0.6903249191046544,0.6838666666666667,0.6855821888300055
bert,bangla,5586,0.6330110991765127,0.6365308506264049,0.637707502010476,0.6350176591782463
bert,banglish,4190,0.6233890214797136,0.6068315114841207,0.6113405533039312,0.6051436448314561
bert,code_switched,169,0.7337278106508875,0.5633253301320528,0.7167302798982188,0.5931432576265182
bert,english,5055,0.7016815034619189,0.6967331433211893,0.703289061879428,0.6971555704934929
bert,overall,15000,0.6546,0.6503289915862883,0.6546,0.6507855025485183
